,CTY_NM,ratio,tot
0,강남구,117.50123639960435,304
1,강동구,130.70790527441068,201
2,강북구,255.7419459153563,162
3,강서구,151.52941176470588,325
4,관악구,232.54457243206238,250
5,광진구,164.94108430982146,158
6,구로구,180.53020311263518,283
7,금천구,211.96228638774306,167
8,노원구,155.83520734010975,375
9,도봉구,214.05701829081374,218
10,동대문구,196.91965293681258,200
11,동작구,177.25191666892422,254
12,마포구,140.9319468211136,274
13,서대문구,175.8633236305901,165
14,서초구,108.37842210278441,264
15,성동구,157.09541271708295,286
16,성북구,160.2047498472016,283
17,송파구,122.48745824789466,301
18,양천구,120.53489253424287,266
19,영등포구,162.9965947786606,297
20,용산구,189.52489134729356,168
21,은평구,184.45051752705987,249
22,종로구,223.1765952245131,216
23,중구,245.4384871155445,136
24,중랑구,204.63641941044145,202
