,관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자,버스정류장개수,지하철역개수,노인복지시설개수,노인보호구역개수
0,11320-00001,북한산 국립공원,기타,서울특별시 도봉구 도봉산길 88(도봉동),서울특별시 도봉구 도봉1동 산29-2,37.6920803,127.0312043,8703000,,,"대피소2, 사무소1, 약수터3, 교량 10, 통제소 4, 화장실 20, 파고라 8, 탐방지원센터 1",,,,,,2019-01-01,0,0,0,0
1,11320-00002,초안산근린공원,근린공원,서울특별시 도봉구 해등로3길 48-11(창동),서울특별시 도봉구 창동 산24 초안산근린공원,37.6474261,127.0414291,664905,,,"정보문화센터, 배드민턴장, 인조잔디축구장",,,,,,2019-01-01,6,0,2,0
2,11320-00003,쌍문근린공원,근린공원,서울특별시 도봉구 시루봉로2길 34(쌍문동),서울특별시 도봉구 쌍문동 산80,37.6541919,127.0290879,328018,,,"배구장, 배드민턴장, 테니스장, 휴게광장,체력단련장, 청소년문화회관",,,,,,2019-01-01,4,0,3,0
3,11320-00004,월천근린공원,근린공원,서울특별시 도봉구 노해로70길 126,서울특별시 도봉구 창동 28,37.6472711141,127.0523186642,10712,,,"화장실, 조합놀이대, 배드민턴장",,,,,,2019-01-01,9,1,3,0
4,11320-00026,효 자,어린이공원,,서울특별시 도봉구 창동 27-2,37.6500558,127.0510344,1573,,,"조합놀이대, 의자, 화장실 등",,,2010-12-01,,,2019-01-01,5,0,3,0
5,11320-00030,창 원,어린이공원,,서울특별시 도봉구 창동 307,37.6529957,127.0403553,2329,,,"조합놀이대, 의자 등",,,2010-05-01,,,2019-01-01,16,0,5,0
6,11320-00031,은행나무,어린이공원,,서울특별시 도봉구 창동 347-3,37.6496529,127.0437757,3199,,,"조합놀이대, 의자, 화장실 등",,,2013-02-01,,,2019-01-01,7,0,3,0
7,11320-00032,반 석,어린이공원,,서울특별시 도봉구 창동 354,37.6471171,127.0412529,2596,,,"조합놀이대, 의자 등",,,2010-12-01,,,2019-01-01,6,0,2,0
8,11320-00033,뱃 골,어린이공원,,서울특별시 도봉구 창동 367,37.6465834,127.0450164,2319,,,"조합놀이대, 의자, 화장실 등",,,2015-11-01,,,2019-01-01,6,0,3,0
9,11320-00034,밤 골,어린이공원,,서울특별시 도봉구 창동 368,37.6487859,127.0458545,2279,,,"조합놀이대, 그네, 화장실 등",,,2012-04-01,,,2019-01-01,7,0,4,0
10,11320-00035,창 골,어린이공원,,서울특별시 도봉구 창동 381,37.6430752,127.0486262,4236,,,"조합놀이대, 의자 등",,,2018-12-01,,,2019-01-01,2,0,2,0
11,11320-00044,창3 마을공원,소공원,,서울특별시 도봉구 창동 505-12,37.6333294,127.0412078,3314,,,,,,2010-05-13,,,2019-01-01,16,0,9,0
12,11320-00045,창2 마을공원,소공원,,서울특별시 도봉구 창동 582-22,37.6412657,127.0362989,3104,,,,,,2010-05-13,,,2019-01-01,7,0,8,0
13,11320-00049,다락원 체육공원,체육공원,서울특별시 도봉구 마들로 932,서울특별시 도봉구 도봉동 8번지,37.6907728498,127.046562363,49830,,,,,,,,,2019-01-01,5,2,0,0
14,11320-00050,서울 창포원,기타,서울특별시 도봉구 마들로 916,서울특별시 도봉구 도봉동 4,37.6892727,127.0475814,51486,,,,,,,,,2019-01-01,6,2,1,0
15,11320-00057,도봉1동(2),기타,,서울특별시 도봉구 도봉동 638-1,37.6862776,127.0408206,1583,,,,,,,,,2019-01-01,3,0,1,0
16,11320-00061,발바닥공원,기타,서울특별시 도봉구 시루봉로 94,서울특별시 도봉구 방학동 490-8,37.6591413,127.0279921,13879,,,,,,,,,2019-01-01,23,0,8,0
17,11320-00062,방학사계광장,기타,,서울특별시 도봉구 방학동 678,37.6624333,127.0418448,15780,,,,,,,,,2019-01-01,5,0,18,0
18,11320-00063,도봉산역 만남의광장,기타,,서울특별시 도봉구 도봉2동 41,37.6882419,127.0467981,5271,,,,,,,,,2019-01-01,8,2,2,0
19,11320-00069,원당샘공원,기타,,서울특별시 도봉구 방학3동 547,37.6607526,127.0220787,4671,,,,,,,,,2019-01-01,2,0,3,0
