Column1,관리번호,공원명,공원구분,소재지도로,소재지지번,위도,경도,공원면적,공원보유시,공원보유_1,공원보유_2,공원보유_3,공원보유_4,지정고시일,관리기관명,전화번호,데이터기준,노인복지시설개수,버스정류장개수,지하철역개수,노인보호구역개수
0,11260-00001,용마도시자연공원,도시농업공원,,서울특별시 중랑구 면목동 산 1-1,37.58411925,127.1078998,2800624,,,,,,,서울특별시 중랑구청,02-2094-2364,2020-11-12,0,0,0,0
1,11260-00002,봉화산근린공원,근린공원,,서울특별시 중랑구 묵동 산 46-1,37.60823987,127.0841101,977500,,,,,,,서울특별시 중랑구청,02-2094-2364,2020-11-12,0,0,0,0
2,11260-00003,신내공원,근린공원,,서울특별시 중랑구 신내동 652,37.61374917,127.0892086,18699,,,,,,,서울특별시 중랑구청,02-2094-2364,2020-11-12,4,6,0,1
3,11260-00004,신내어울공원,근린공원,,서울특별시 중랑구 신내동 317-2,37.61163479,127.0974178,12937,,,,,,,서울특별시 중랑구청,02-2094-2364,2020-11-12,11,8,0,0
4,11260-00005,능산공원,근린공원,,서울특별시 중랑구 신내동 317-2,37.61163479,127.0974178,12372,,,,,,,서울특별시 중랑구청,02-2094-2364,2020-11-12,11,8,0,0
5,11260-00006,구릉공원,근린공원,,서울특별시 중랑구 신내동,37.61033,127.0961,19651,,,,,,,서울특별시 중랑구청,02-2094-2364,2020-11-12,12,5,0,0
6,11260-00007,능말공원,근린공원,,서울특별시 중랑구 신내동 111-31,37.61535601,127.1070691,13101,,,,,,,서울특별시 중랑구청,02-2094-2364,2020-11-12,3,6,0,0
7,11260-00008,배말공원,근린공원,,서울특별시 중랑구 신내동 산 8-9,37.61401402,127.1123054,13902,,,,,,,서울특별시 중랑구청,02-2094-2364,2020-11-12,1,2,0,0
8,11260-00010,서  당,어린이공원,,서울특별시 중랑구 묵1 20-1,37.61703,127.0881,2000,,,,,,,서울특별시 중랑구청,02-2094-2364,2020-11-12,5,10,1,1
9,11260-00011,은하수,어린이공원,,서울특별시 중랑구 신내2 650-1,37.61562,127.0912,2000,,,,,,,서울특별시 중랑구청,02-2094-2364,2020-11-12,4,12,1,0
10,11260-00017,한아름,어린이공원,,서울특별시 중랑구 신내2 656-1,37.61324,127.0941,2006,,,,,,,서울특별시 중랑구청,02-2094-2364,2020-11-12,8,8,0,0
11,11260-00020,망우동,어린이공원,,서울특별시 중랑구 망우본 583-2,37.60126,127.1065,2909,,,,,,,서울특별시 중랑구청,02-2094-2364,2020-11-12,9,10,0,0
12,11260-00029,까  치,어린이공원,,서울특별시 중랑구 면목3·8 570,37.5835,127.0872,3232,,,,,,,서울특별시 중랑구청,02-2094-2364,2020-11-12,6,5,0,0
13,11260-00030,샘  터,어린이공원,,서울특별시 중랑구 면목4 656,37.57303,127.0833,1592,,,,,,,서울특별시 중랑구청,02-2094-2364,2020-11-12,9,9,0,0
14,11260-00051,묵  동,어린이공원,,서울특별시 중랑구 묵1 396-1,37.612574,127.078524,1687,,,,,,,서울특별시 중랑구청,02-2094-2364,2020-11-12,14,9,1,0
