,관리번호,공원명,공원구분,소재지도로,위도,경도,공원면적,NUM_고령인구,NUM_전통시장,NUM_주민센터,NUM_복지시설,INDEX_대중교통,인구점수,전통시장점수,주민센터점수,복지시설점수,대중교통점수,최종점수
14,11620-00062,충효,어린이공원,,37.480969,126.941048,3188,1711,1,1,5,1.8571428571428572,0.6481554938516462,0.5,0.5,0.8333333333333333,0.9999999999999999,3.4814888271849798
2,11620-00018,서원,어린이공원,서울특별시 관악구 서원3길 10,37.476815,126.933237,2324,2598,1,1,5,0.7857142857142858,0.9999999999999999,0.5,0.5,0.8333333333333333,0.375,3.208333333333333
9,11620-00028,원당,어린이공원,,37.474839,126.963329,1647,1499,2,1,4,0.7857142857142858,0.5640618802062674,1.0,0.5,0.6666666666666666,0.375,3.105728546872934
6,11620-00027,비안,어린이공원,,37.480767,126.94017,1661,1405,1,1,4,1.2857142857142858,0.5267750892502975,0.5,0.5,0.6666666666666666,0.6666666666666666,2.8601084225836306
11,11620-00034,모래내,어린이공원,,37.477901,126.955456,1667,1323,2,0,4,1.2142857142857144,0.49424831416104725,1.0,0.0,0.6666666666666666,0.625,2.7859149808277137
3,11620-00020,백설,어린이공원,서울특별시 관악구 관악로6길 50,37.476236,126.953512,1655,1238,0,2,5,0.8571428571428572,0.460531535105117,0.0,1.0,0.8333333333333333,0.4166666666666667,2.7105315351051167
7,11620-00046,새싹,어린이공원,서울특별시 관악구 양녕로6다길 11-4,37.484451,126.949378,1797,2422,0,1,5,0.6428571428571429,0.9301864339547798,0.0,0.5,0.8333333333333333,0.2916666666666667,2.5551864339547796
10,11620-00033,까치,어린이공원,서울특별시 관악구 행운4길 2,37.479924,126.959507,1602,1407,0,1,6,0.7142857142857144,0.527568425228084,0.0,0.5,1.0,0.33333333333333337,2.3609017585614174
5,11620-00025,장군봉근린공원,근린공원,,37.478631,126.939049,128100,1716,1,1,2,0.2142857142857143,0.6501388337961126,0.5,0.5,0.3333333333333333,0.04166666666666667,2.0251388337961127
1,11620-00017,국지,어린이공원,서울특별시 관악구 국회단지19길 23,37.490053,126.940606,1650,1991,0,0,1,0.9285714285714287,0.7592225307417692,0.0,0.0,0.16666666666666666,0.4583333333333333,1.384222530741769
13,11620-00058,남강,어린이공원,,37.473461,126.924653,10350,1433,0,0,1,0.7857142857142858,0.5378817929393097,0.0,0.0,0.16666666666666666,0.375,1.0795484596059763
0,11620-00001,상도근린공원,근린공원,서울특별시 관악구 국회단지길 144,37.491879,126.94143,87458,1174,0,0,1,0.7142857142857144,0.43514478381594607,0.0,0.0,0.16666666666666666,0.33333333333333337,0.9351447838159461
4,11620-00024,신림근린공원,근린공원,서울특별시 관악구 남부순환로152길 53,37.480884,126.918234,90960,554,0,0,1,0.28571428571428575,0.18921063070210237,0.0,0.0,0.16666666666666666,0.08333333333333333,0.43921063070210237
8,11620-00047,까치산근린공원,근린공원,,37.476436,126.969325,64534,836,0,0,0,0.2142857142857143,0.30107100357001193,0.0,0.0,0.0,0.04166666666666667,0.3427376702366786
12,11620-00036,약수암,어린이공원,서울특별시 관악구 약수암길 33,37.459512,126.932978,1680,77,0,0,2,0.14285714285714288,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
